constrset,inst,index,x,y,valid
constr_1_0096,t1i1r04,25,8,42,1
constr_1_0096,t1i1r04,26,8,44,1
constr_1_0096,t1i1r04,27,8,46,1
constr_1_0096,t1i1r04,28,8,48,1
constr_1_0096,t1i1r04,29,10,0,1
constr_1_0096,t1i1r04,30,10,2,1
constr_1_0096,t1i1r04,31,10,4,1
constr_1_0128,t1i1r05,0,10,6,1
constr_1_0128,t1i1r05,1,10,8,1
constr_1_0128,t1i1r05,2,10,10,1
constr_1_0128,t1i1r05,3,10,12,1
constr_1_0128,t1i1r05,4,10,14,1
constr_1_0128,t1i1r05,5,10,16,1
constr_1_0128,t1i1r05,6,10,18,1
constr_1_0128,t1i1r05,7,10,20,1
constr_1_0128,t1i1r05,8,10,22,1
constr_1_0128,t1i1r05,9,10,24,1
constr_1_0128,t1i1r05,10,10,26,1
constr_1_0128,t1i1r05,11,10,28,1
constr_1_0128,t1i1r05,12,10,30,1
constr_1_0128,t1i1r05,13,10,32,1
constr_1_0128,t1i1r05,14,10,34,1
constr_1_0128,t1i1r05,15,10,36,1
constr_1_0128,t1i1r05,16,10,38,1
constr_1_0128,t1i1r05,17,10,40,1
constr_1_0128,t1i1r05,18,10,42,1
constr_1_0128,t1i1r05,19,10,44,1
constr_1_0128,t1i1r05,20,10,46,1
constr_1_0128,t1i1r05,21,10,48,1
constr_1_0128,t1i1r05,22,12,0,1
constr_1_0128,t1i1r05,23,12,2,1
constr_1_0128,t1i1r05,24,12,4,1
constr_1_0128,t1i1r05,25,12,6,1
constr_1_0128,t1i1r05,26,12,8,1
constr_1_0128,t1i1r05,27,12,10,1
constr_1_0128,t1i1r05,28,12,12,1
constr_1_0128,t1i1r05,29,12,14,1
constr_1_0128,t1i1r05,30,12,16,1
constr_1_0128,t1i1r05,31,12,18,1
constr_1_0160,t1i1r06,0,12,20,1
constr_1_0160,t1i1r06,1,12,22,1
constr_1_0160,t1i1r06,2,12,24,1
constr_1_0160,t1i1r06,3,12,26,1
constr_1_0160,t1i1r06,4,12,28,1
constr_1_0160,t1i1r06,5,12,30,1
constr_1_0160,t1i1r06,6,12,32,1
constr_1_0160,t1i1r06,7,12,34,1
constr_1_0160,t1i1r06,8,12,36,1
constr_1_0160,t1i1r06,9,12,38,1
constr_1_0160,t1i1r06,10,12,40,1
constr_1_0160,t1i1r06,11,12,42,1
constr_1_0160,t1i1r06,12,12,44,1
constr_1_0160,t1i1r06,13,12,46,1
constr_1_0160,t1i1r06,14,12,48,1
constr_1_0160,t1i1r06,15,14,0,1
constr_1_0160,t1i1r06,16,14,2,1
constr_1_0160,t1i1r06,17,14,4,1
constr_1_0160,t1i1r06,18,14,6,1
constr_1_0160,t1i1r06,19,14,8,1
constr_1_0160,t1i1r06,20,14,10,1
constr_1_0160,t1i1r06,21,14,12,1
constr_1_0160,t1i1r06,22,14,14,1
constr_1_0160,t1i1r06,23,14,16,1
constr_1_0160,t1i1r06,24,14,18,1
constr_1_0160,t1i1r06,25,14,20,1
constr_1_0160,t1i1r06,26,14,22,1
constr_1_0160,t1i1r06,27,14,24,1
constr_1_0160,t1i1r06,28,14,26,1
constr_1_0160,t1i1r06,29,14,28,1
constr_1_0160,t1i1r06,30,14,30,1
constr_1_0160,t1i1r06,31,14,32,1
constr_1_0192,t1i1r07,0,14,34,1
constr_1_0192,t1i1r07,1,14,36,1
constr_1_0192,t1i1r07,2,14,38,1
constr_1_0192,t1i1r07,3,14,40,1
constr_1_0192,t1i1r07,4,14,42,1
constr_1_0192,t1i1r07,5,14,44,1
constr_1_0192,t1i1r07,6,14,46,1
constr_1_0192,t1i1r07,7,14,48,1
constr_1_0192,t1i1r07,8,16,0,1
constr_1_0192,t1i1r07,9,16,2,1
constr_1_0192,t1i1r07,10,16,4,1
constr_1_0192,t1i1r07,11,16,6,1
constr_1_0192,t1i1r07,12,16,8,1
constr_1_0192,t1i1r07,13,16,10,1
constr_1_0192,t1i1r07,14,16,12,1
constr_1_0192,t1i1r07,15,16,14,1
constr_1_0192,t1i1r07,16,16,16,1
constr_1_0192,t1i1r07,17,16,18,1
constr_1_0192,t1i1r07,18,16,20,1
constr_1_0192,t1i1r07,19,16,22,1
constr_1_0192,t1i1r07,20,16,24,1
constr_1_0192,t1i1r07,21,16,26,1
constr_1_0192,t1i1r07,22,16,28,1
constr_1_0192,t1i1r07,23,16,30,1
constr_1_0192,t1i1r07,24,16,32,1
constr_1_0192,t1i1r07,25,16,34,1
constr_1_0192,t1i1r07,26,16,36,1
constr_1_0192,t1i1r07,27,16,38,1
constr_1_0192,t1i1r07,28,16,40,1
