constrset,inst,index,x,y,valid
constr_1_0096,t1i1r04,25,6,42,1
constr_1_0096,t1i1r04,26,6,44,1
constr_1_0096,t1i1r04,27,6,46,1
constr_1_0096,t1i1r04,28,6,48,1
constr_1_0096,t1i1r04,29,6,50,1
constr_1_0096,t1i1r04,30,6,52,1
constr_1_0096,t1i1r04,31,6,54,1
constr_1_0128,t1i1r05,0,6,56,1
constr_1_0128,t1i1r05,1,6,58,1
constr_1_0128,t1i1r05,2,6,60,1
constr_1_0128,t1i1r05,3,6,62,1
constr_1_0128,t1i1r05,4,6,64,1
constr_1_0128,t1i1r05,5,6,66,1
constr_1_0128,t1i1r05,6,6,68,1
constr_1_0128,t1i1r05,7,6,70,1
constr_1_0128,t1i1r05,8,6,72,1
constr_1_0128,t1i1r05,9,6,74,1
constr_1_0128,t1i1r05,10,6,76,1
constr_1_0128,t1i1r05,11,6,78,1
constr_1_0128,t1i1r05,12,6,80,1
constr_1_0128,t1i1r05,13,6,82,1
constr_1_0128,t1i1r05,14,6,84,1
constr_1_0128,t1i1r05,15,6,86,1
constr_1_0128,t1i1r05,16,6,88,1
constr_1_0128,t1i1r05,17,6,90,1
constr_1_0128,t1i1r05,18,6,92,1
constr_1_0128,t1i1r05,19,6,94,1
constr_1_0128,t1i1r05,20,6,96,1
constr_1_0128,t1i1r05,21,6,98,1
constr_1_0128,t1i1r05,22,8,0,1
constr_1_0128,t1i1r05,23,8,2,1
constr_1_0128,t1i1r05,24,8,4,1
constr_1_0128,t1i1r05,25,8,6,1
constr_1_0128,t1i1r05,26,8,8,1
constr_1_0128,t1i1r05,27,8,10,1
constr_1_0128,t1i1r05,28,8,12,1
constr_1_0128,t1i1r05,29,8,14,1
constr_1_0128,t1i1r05,30,8,16,1
constr_1_0128,t1i1r05,31,8,18,1
constr_1_0160,t1i1r06,0,8,20,1
constr_1_0160,t1i1r06,1,8,22,1
constr_1_0160,t1i1r06,2,8,24,1
constr_1_0160,t1i1r06,3,8,26,1
constr_1_0160,t1i1r06,4,8,28,1
constr_1_0160,t1i1r06,5,8,30,1
constr_1_0160,t1i1r06,6,8,32,1
constr_1_0160,t1i1r06,7,8,34,1
constr_1_0160,t1i1r06,8,8,36,1
constr_1_0160,t1i1r06,9,8,38,1
constr_1_0160,t1i1r06,10,8,40,1
constr_1_0160,t1i1r06,11,8,42,1
constr_1_0160,t1i1r06,12,8,44,1
constr_1_0160,t1i1r06,13,8,46,1
constr_1_0160,t1i1r06,14,8,48,1
constr_1_0160,t1i1r06,15,8,50,1
constr_1_0160,t1i1r06,16,8,52,1
constr_1_0160,t1i1r06,17,8,54,1
constr_1_0160,t1i1r06,18,8,56,1
constr_1_0160,t1i1r06,19,8,58,1
constr_1_0160,t1i1r06,20,8,60,1
constr_1_0160,t1i1r06,21,8,62,1
constr_1_0160,t1i1r06,22,8,64,1
constr_1_0160,t1i1r06,23,8,66,1
constr_1_0160,t1i1r06,24,8,68,1
constr_1_0160,t1i1r06,25,8,70,1
constr_1_0160,t1i1r06,26,8,72,1
constr_1_0160,t1i1r06,27,8,74,1
constr_1_0160,t1i1r06,28,8,76,1
constr_1_0160,t1i1r06,29,8,78,1
constr_1_0160,t1i1r06,30,8,80,1
constr_1_0160,t1i1r06,31,8,82,1
constr_1_0192,t1i1r07,0,8,84,1
constr_1_0192,t1i1r07,1,8,86,1
constr_1_0192,t1i1r07,2,8,88,1
constr_1_0192,t1i1r07,3,8,90,1
constr_1_0192,t1i1r07,4,8,92,1
constr_1_0192,t1i1r07,5,8,94,1
constr_1_0192,t1i1r07,6,8,96,1
constr_1_0192,t1i1r07,7,8,98,1
constr_1_0192,t1i1r07,8,10,0,1
constr_1_0192,t1i1r07,9,10,2,1
constr_1_0192,t1i1r07,10,10,4,1
